,Tokens,Occurences
359,degeneraci,"[('T7.txt', 1)]"
360,dispers,"[('T5.txt', 6)]"
361,190,"[('T1.txt', 2)]"
362,properti,"[('T6.txt', 1), ('T9.txt', 3), ('T10.txt', 3)]"
363,needl,"[('T9.txt', 2)]"
364,everi,"[('T1.txt', 4), ('T2.txt', 10), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 6), ('T6.txt', 3), ('T7.txt', 8), ('T9.txt', 11), ('T10.txt', 6)]"
365,magic,"[('T1.txt', 1)]"
366,postul,"[('T8.txt', 1)]"
367,vortic,"[('T9.txt', 1)]"
368,select,"[('T5.txt', 1), ('T7.txt', 1)]"
369,pave,"[('T6.txt', 1)]"
370,washington,"[('T2.txt', 2)]"
371,outbreak,"[('T5.txt', 1), ('T9.txt', 2)]"
372,persist,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 5)]"
373,246,"[('T1.txt', 2)]"
374,viru,"[('T10.txt', 1)]"
375,algol,"[('T5.txt', 3)]"
376,rain,"[('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1)]"
377,flatten,"[('T5.txt', 1)]"
378,group,"[('T1.txt', 1), ('T4.txt', 2), ('T5.txt', 3), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
379,overcharg,"[('T9.txt', 1)]"
380,ounc,"[('T4.txt', 1)]"
381,frill,"[('T1.txt', 1)]"
382,insul,"[('T9.txt', 2)]"
383,genealog,"[('T1.txt', 1), ('T6.txt', 3)]"
384,82,"[('T1.txt', 1)]"
385,haze,"[('T1.txt', 1)]"
386,fuller,"[('T7.txt', 1)]"
